title,company,location,link
Full Stack Developer,Easebuzz,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/full-stack-developer-at-easebuzz-4216065767?position=1&pageNum=0&refId=pyHs1dkluu5nLKR%2Fa1qQag%3D%3D&trackingId=IkpXzp2QERPLydV9EtrG6A%3D%3D
Software Developer 1,Oracle,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/software-developer-1-at-oracle-4207063802?position=2&pageNum=0&refId=pyHs1dkluu5nLKR%2Fa1qQag%3D%3D&trackingId=XOVDN5N57MWP97jaorDdqw%3D%3D
SQL Developer,Easebuzz,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/sql-developer-at-easebuzz-4144169151?position=3&pageNum=0&refId=pyHs1dkluu5nLKR%2Fa1qQag%3D%3D&trackingId=D2RU9KN6RBnvdUJgKoekeQ%3D%3D
Fullstack Developer,Tata Communications,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/fullstack-developer-at-tata-communications-4219651967?position=4&pageNum=0&refId=pyHs1dkluu5nLKR%2Fa1qQag%3D%3D&trackingId=L%2BdVJ8LmF8omHFe44u3vag%3D%3D
Front-End Developer,Spiralyze,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/front-end-developer-at-spiralyze-4231385227?position=5&pageNum=0&refId=pyHs1dkluu5nLKR%2Fa1qQag%3D%3D&trackingId=RfIMSj7i%2B%2F%2F0PlfbrXl%2B0w%3D%3D
Easebuzz - SQL Developer,Easebuzz,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/easebuzz-sql-developer-at-easebuzz-4170193167?position=6&pageNum=0&refId=pyHs1dkluu5nLKR%2Fa1qQag%3D%3D&trackingId=NHDiiICK4QJhoiaFRv7Gkw%3D%3D
Senior Front-end Developer,Easebuzz,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/senior-front-end-developer-at-easebuzz-4117165935?position=7&pageNum=0&refId=pyHs1dkluu5nLKR%2Fa1qQag%3D%3D&trackingId=z1K3KmStoGENHeCuOUESLg%3D%3D
"Software Engineer - Backend (5-7), Pune",PhonePe,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/software-engineer-backend-5-7-pune-at-phonepe-3952016917?position=8&pageNum=0&refId=pyHs1dkluu5nLKR%2Fa1qQag%3D%3D&trackingId=m%2BD6CgaQ%2FkTHJwdBuSzSEg%3D%3D
HTML Developer,YourMauka - The Bumble of Hiring,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/html-developer-at-yourmauka-the-bumble-of-hiring-4167591189?position=9&pageNum=0&refId=pyHs1dkluu5nLKR%2Fa1qQag%3D%3D&trackingId=6Zzd0kDRoBpuAVCzXQ83Pw%3D%3D
Python Developer,Infosys,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4220939108?position=10&pageNum=0&refId=pyHs1dkluu5nLKR%2Fa1qQag%3D%3D&trackingId=5qgwXF9eps%2BM1orq5nZxZw%3D%3D
